datetime,Day,Month,Year,Tmin(C),Tmax(C),Prcp(mm),ET0
2018-01-01,1,1,2018,-11.4,-9.1,3.0,0.42
2018-01-02,2,1,2018,-11.2,-4.6,3.2,0.48
2018-01-03,3,1,2018,-11.1,-2.1,0.4,0.97
2018-01-04,4,1,2018,-5.8,9.7,26.8,0.84
2018-01-05,5,1,2018,-11.2,2.8,6.0,0.58
2018-01-06,6,1,2018,-13.7,-9.5,4.2,0.52
2018-01-07,7,1,2018,-14.2,-0.6,1.0,0.54
2018-01-08,8,1,2018,-3.7,5.3,5.8,1.06
2018-01-09,9,1,2018,-3.7,3.8,1.8,1.26
2018-01-10,10,1,2018,-3.8,4.1,0.0,1.15
2018-01-11,11,1,2018,1.3500000000000005,9.6,0.0,1.45
2018-01-12,12,1,2018,6.5,12.0,2.2,1.28
2018-01-13,13,1,2018,-3.5,13.4,7.8,0.59
2018-01-14,14,1,2018,-6.3,-3.2,0.0,0.6
2018-01-15,15,1,2018,-6.8,-3.7,4.4,1.22
2018-01-16,16,1,2018,-6.6,-1.4,0.2,0.77
2018-01-17,17,1,2018,-3.8,0.2,15.6,0.48
2018-01-18,18,1,2018,-6.4,0.8,0.2,0.71
2018-01-19,19,1,2018,-4.3,-0.8,0.2,0.7
2018-01-20,20,1,2018,-2.0,6.2,0.4,1.71
2018-01-21,21,1,2018,-2.9,5.3,0.0,1.6700000000000002
2018-01-22,22,1,2018,-4.7,-0.1,0.0,1.09
2018-01-23,23,1,2018,-3.0,10.6,10.8,0.65
2018-01-24,24,1,2018,-4.3,8.7,0.4,1.2
2018-01-25,25,1,2018,-7.050000000000001,-4.3,0.0,1.19
2018-01-26,26,1,2018,-9.8,-4.6,0.6,0.88
2018-01-27,27,1,2018,-10.6,8.2,0.0,1.32
2018-01-28,28,1,2018,1.6,8.4,4.0,0.65
2018-01-29,29,1,2018,-5.5,1.8,2.6,0.81
2018-01-30,30,1,2018,-7.7,-3.3,8.6,0.5
2018-01-31,31,1,2018,-8.1,0.4,0.8,0.73
2018-02-01,1,2,2018,0.3,5.7,1.4,1.06
2018-02-02,2,2,2018,-11.1,6.1,7.4,0.41000000000000003
2018-02-03,3,2,2018,-11.8,-6.6,3.4,0.63
2018-02-04,4,2,2018,-7.3,7.2,1.4,1.26
2018-02-05,5,2,2018,-3.5,10.5,12.4,0.63
2018-02-06,6,2,2018,-7.5,1.4,0.4,1.22
2018-02-07,7,2,2018,-5.3,8.5,29.0,0.9400000000000001
2018-02-08,8,2,2018,-5.2,7.9,7.0,0.78
2018-02-09,9,2,2018,-5.7,0.3,1.2,1.48
2018-02-10,10,2,2018,-0.3,7.2,9.0,1.05
2018-02-11,11,2,2018,3.8,10.6,39.2,0.27
