datetime,Day,Month,Year,Tmin(C),Tmax(C),Prcp(mm),ET0
2018-02-12,12,2,2018,-2.8500000000000005,6.8,0.0,1.19
2018-02-13,13,2,2018,-9.5,-3.1,0.0,1.4
2018-02-14,14,2,2018,-3.1,4.6,0.0,1.33
2018-02-15,15,2,2018,-1.9,8.4,0.0,0.56
2018-02-16,16,2,2018,-2.4,7.0,8.4,0.39
2018-02-17,17,2,2018,-6.1,-2.2,0.0,1.29
2018-02-18,18,2,2018,-3.0,1.9,7.2,1.03
2018-02-19,19,2,2018,-5.9,5.4,3.2,1.33
2018-02-20,20,2,2018,4.4,9.2,4.4,0.22
2018-02-21,21,2,2018,3.7,8.0,0.6,0.3
2018-02-22,22,2,2018,-4.1,5.6,0.0,1.84
2018-02-23,23,2,2018,-6.4,1.8,3.2,1.4100000000000001
2018-02-24,24,2,2018,-1.6,7.2,1.0,1.26
2018-02-25,25,2,2018,-3.7,1.2,7.7,1.33
2018-02-26,26,2,2018,0.9,5.9,0.8,0.52
2018-02-27,27,2,2018,-0.3,5.4,0.0,1.87
2018-02-28,28,2,2018,2.8,8.0,0.0,1.1500000000000001
2018-03-01,1,3,2018,2.1,8.3,0.2,0.81
2018-03-02,2,3,2018,2.9,6.9,0.0,1.6800000000000002
2018-03-03,3,3,2018,1.7,8.3,0.0,1.76
2018-03-04,4,3,2018,0.1,5.2,0.0,1.76
2018-03-05,5,3,2018,-0.7,8.1,0.0,1.95
2018-03-06,6,3,2018,-3.4,5.5,0.0,1.69
2018-03-07,7,3,2018,-4.2,5.6,0.2,1.51
2018-03-08,8,3,2018,0.6,5.9,16.8,0.39
2018-03-09,9,3,2018,0.1,4.5,0.4,0.79
2018-03-10,10,3,2018,-0.3,2.4,1.2,0.89
2018-03-11,11,3,2018,-1.5,3.0,0.2,1.1300000000000001
2018-03-12,12,3,2018,-3.0,7.1,0.0,1.16
2018-03-13,13,3,2018,-1.1,2.2,20.0,0.8200000000000001
2018-03-14,14,3,2018,0.8,3.9,4.6,0.97
2018-03-15,15,3,2018,-0.7,4.2,1.8,1.22
2018-03-16,16,3,2018,-3.1,2.3,0.0,1.52
2018-03-17,17,3,2018,-6.8,-2.9,1.4,1.27
2018-03-18,18,3,2018,-7.3,-2.9,0.0,1.21
2018-03-19,19,3,2018,-6.8,-0.7,0.0,1.23
2018-03-20,20,3,2018,-5.3,1.4,0.0,1.28
2018-03-21,21,3,2018,-5.8,5.1,0.0,1.32
2018-03-22,22,3,2018,-0.8,1.4,21.0,0.79
2018-03-23,23,3,2018,-0.4,3.1,0.0,1.3800000000000001
2018-03-24,24,3,2018,-1.1,4.9,2.6,1.11
2018-03-25,25,3,2018,-5.8,1.7,0.3,1.48
2018-03-26,26,3,2018,-7.2,6.1,0.0,1.6099999999999999
2018-03-27,27,3,2018,-5.5,12.2,0.0,2.35
2018-03-28,28,3,2018,0.2,6.3,0.0,0.87
2018-03-29,29,3,2018,-0.7,9.1,0.0,1.01
2018-03-30,30,3,2018,4.2,9.3,7.2,0.42
2018-03-31,31,3,2018,2.2,6.0,0.0,1.53
2018-04-01,1,4,2018,0.2,7.2,1.4,1.52
2018-04-02,2,4,2018,-2.6,2.4,0.0,1.59
2018-04-03,3,4,2018,-1.6,5.8,5.6,1.49
2018-04-04,4,4,2018,2.8,10.6,16.0,0.41000000000000003
2018-04-05,5,4,2018,-2.7,4.9,0.0,1.87
2018-04-06,6,4,2018,-3.6,4.5,6.4,2.12
2018-04-07,7,4,2018,0.0,4.9,8.4,0.8400000000000001
2018-04-08,8,4,2018,0.2,2.6,0.0,1.22
2018-04-09,9,4,2018,-3.3,1.0,0.0,2.34
2018-04-10,10,4,2018,-5.0,4.1,0.0,1.92
2018-04-11,11,4,2018,-3.7,6.9,0.0,5.879999999999999
2018-04-12,12,4,2018,-3.0,7.5,5.4,1.1300000000000001
2018-04-13,13,4,2018,4.5,11.5,4.6,1.31
2018-04-14,14,4,2018,-0.4,8.9,0.0,1.84
2018-04-15,15,4,2018,-2.2,2.2,0.0,2.22
2018-04-16,16,4,2018,-0.5,7.4,10.4,1.41
2018-04-17,17,4,2018,4.2,13.1,24.0,0.44
2018-04-18,18,4,2018,2.7,6.3,0.6,1.37
2018-04-19,19,4,2018,0.2,7.5,11.1,1.01
2018-04-20,20,4,2018,1.0,7.2,3.0,0.68
2018-04-21,21,4,2018,2.2,7.2,0.0,1.81
2018-04-22,22,4,2018,1.0,8.7,0.0,2.65
2018-04-23,23,4,2018,0.2,10.6,0.0,2.45
2018-04-24,24,4,2018,2.8,12.5,0.0,2.85
2018-04-25,25,4,2018,4.6,16.0,3.2,2.11
2018-04-26,26,4,2018,6.4,12.4,15.2,0.34
2018-04-27,27,4,2018,5.8,13.5,0.4,1.33
2018-04-28,28,4,2018,6.3,12.3,11.6,0.33
2018-04-29,29,4,2018,7.8,16.2,6.2,0.73
2018-04-30,30,4,2018,2.6,11.8,7.8,0.81
2018-05-01,1,5,2018,1.5,8.9,0.2,0.77
2018-05-02,2,5,2018,5.8,15.9,0.0,2.69
2018-05-03,3,5,2018,8.2,19.4,10.0,2.58
2018-05-04,4,5,2018,8.0,15.6,1.0,0.88
2018-05-05,5,5,2018,8.6,13.2,0.0,3.18
2018-05-06,6,5,2018,8.8,16.2,4.0,2.25
2018-05-07,7,5,2018,6.4,16.9,0.4,1.46
2018-05-08,8,5,2018,4.3,14.8,0.0,1.6
2018-05-09,9,5,2018,4.8,15.4,0.0,1.28
2018-05-10,10,5,2018,7.0,13.6,5.2,1.16
2018-05-11,11,5,2018,4.7,12.7,0.0,2.84
2018-05-12,12,5,2018,1.9,11.6,0.0,2.92
2018-05-13,13,5,2018,3.7,11.7,0.0,1.57
2018-05-14,14,5,2018,1.3,14.7,0.0,1.1400000000000001
2018-05-15,15,5,2018,6.3,11.7,0.8,0.67
2018-05-16,16,5,2018,7.3,14.0,0.0,1.61
2018-05-17,17,5,2018,7.8,13.0,0.4,0.9400000000000001
2018-05-18,18,5,2018,3.7,17.5,0.0,2.4
2018-05-19,19,5,2018,2.8,16.2,9.8,2.33
2018-05-20,20,5,2018,7.9,14.1,15.6,0.41000000000000003
2018-05-21,21,5,2018,6.0,16.4,0.0,3.15
2018-05-22,22,5,2018,6.7,19.1,0.4,3.02
2018-05-23,23,5,2018,4.9,14.1,0.0,2.2
2018-05-24,24,5,2018,2.3,12.1,0.0,3.1
2018-05-25,25,5,2018,7.9,16.3,0.0,5.14
2018-05-26,26,5,2018,9.6,20.1,0.0,2.91
2018-05-27,27,5,2018,5.5,15.4,0.0,3.0
2018-05-28,28,5,2018,6.6,17.4,0.4,1.57
2018-05-29,29,5,2018,8.8,20.4,0.2,2.41
2018-05-30,30,5,2018,6.7,17.3,0.0,3.5500000000000003
2018-05-31,31,5,2018,5.3,17.5,0.0,2.5
2018-06-01,1,6,2018,9.5,18.3,0.0,1.67
2018-06-02,2,6,2018,7.7,18.1,0.0,1.24
2018-06-03,3,6,2018,4.4,17.2,0.0,2.89
2018-06-04,4,6,2018,2.3,12.7,7.0,2.2
2018-06-05,5,6,2018,6.7,12.6,24.2,0.45
2018-06-06,6,6,2018,5.9,13.9,0.0,1.35
2018-06-07,7,6,2018,3.8,16.1,0.0,1.8
2018-06-08,8,6,2018,7.9,16.0,0.0,1.99
2018-06-09,9,6,2018,6.9,17.8,0.0,3.48
2018-06-10,10,6,2018,7.6,17.9,0.0,3.7
2018-06-11,11,6,2018,6.4,16.7,0.0,2.94
2018-06-12,12,6,2018,6.8,15.5,0.0,2.75
2018-06-13,13,6,2018,11.0,16.7,11.6,3.33
2018-06-14,14,6,2018,7.9,15.0,3.4,0.38
2018-06-15,15,6,2018,7.9,16.3,0.0,2.31
2018-06-16,16,6,2018,8.6,20.0,0.0,2.61
2018-06-17,17,6,2018,9.6,21.2,0.0,3.4
2018-06-18,18,6,2018,12.1,18.6,0.2,2.16
2018-06-19,19,6,2018,10.0,21.2,2.8,3.35
2018-06-20,20,6,2018,9.75,20.0,0.0,3.97
2018-06-21,21,6,2018,9.5,22.3,0.0,2.83
2018-06-22,22,6,2018,7.2,18.6,0.0,3.19
2018-06-23,23,6,2018,7.8,19.5,0.0,1.73
2018-06-24,24,6,2018,12.3,16.6,0.0,1.24
2018-06-25,25,6,2018,9.0,16.5,17.8,1.11
2018-06-26,26,6,2018,7.9,16.3,0.0,3.11
2018-06-27,27,6,2018,11.6,17.5,0.0,2.93
2018-06-28,28,6,2018,13.9,18.9,6.8,2.37
2018-06-29,29,6,2018,11.6,19.5,1.4,0.8500000000000001
2018-06-30,30,6,2018,10.3,24.1,0.0,1.7
2018-07-01,1,7,2018,15.5,26.7,0.8,1.58
2018-07-02,2,7,2018,15.8,23.3,0.0,1.56
2018-07-03,3,7,2018,15.2,22.5,0.0,1.08
2018-07-04,4,7,2018,16.0,26.4,0.0,2.38
2018-07-05,5,7,2018,15.2,27.1,0.0,2.94
2018-07-06,6,7,2018,15.2,19.1,0.0,0.95
2018-07-07,7,7,2018,11.0,18.8,0.0,13.440000000000001
2018-07-08,8,7,2018,11.5,20.5,0.0,4.39
2018-07-09,9,7,2018,12.55,21.0,0.0,4.5600000000000005
2018-07-10,10,7,2018,13.6,20.4,0.0,3.47
2018-07-11,11,7,2018,13.8,21.9,0.2,1.58
2018-07-12,12,7,2018,13.8,23.7,0.0,3.47
2018-07-13,13,7,2018,13.3,24.0,0.0,2.98
2018-07-14,14,7,2018,13.0,21.3,0.0,2.5300000000000002
2018-07-15,15,7,2018,13.3,21.7,0.0,1.33
2018-07-16,16,7,2018,13.6,21.1,0.0,1.73
2018-07-17,17,7,2018,13.6,20.4,0.4,0.8
2018-07-18,18,7,2018,14.8,22.9,0.0,1.15
2018-07-19,19,7,2018,12.5,22.6,0.0,4.26
2018-07-20,20,7,2018,12.45,24.3,0.0,2.51
2018-07-21,21,7,2018,12.4,23.8,0.0,1.9300000000000002
2018-07-22,22,7,2018,13.8,25.3,1.0,0.86
2018-07-23,23,7,2018,19.2,27.0,0.0,1.78
2018-07-24,24,7,2018,18.1,25.0,0.0,1.47
2018-07-25,25,7,2018,17.8,25.3,0.0,1.1
2018-07-26,26,7,2018,17.5,20.9,0.2,0.88
2018-07-27,27,7,2018,16.9,22.0,0.0,1.46
2018-07-28,28,7,2018,17.0,23.7,0.2,0.8200000000000001
2018-07-29,29,7,2018,14.9,21.9,0.0,1.48
2018-07-30,30,7,2018,14.5,23.0,0.0,3.43
2018-07-31,31,7,2018,15.1,23.8,0.0,2.65
2018-08-01,1,8,2018,15.2,24.8,0.0,1.6400000000000001
2018-08-02,2,8,2018,17.9,22.8,0.2,1.42
2018-08-03,3,8,2018,17.5,22.8,0.0,1.79
2018-08-04,4,8,2018,17.3,24.2,0.0,1.12
2018-08-05,5,8,2018,16.4,24.8,0.6,1.95
2018-08-06,6,8,2018,16.2,25.1,0.0,2.46
2018-08-07,7,8,2018,16.7,26.7,0.0,2.55
2018-08-08,8,8,2018,17.6,25.1,0.0,1.68
2018-08-09,9,8,2018,17.9,23.2,1.4,1.0
2018-08-10,10,8,2018,12.6,24.5,0.0,2.62
2018-08-11,11,8,2018,11.6,25.4,0.0,3.03
2018-08-12,12,8,2018,14.8,26.4,0.0,2.8200000000000003
2018-08-13,13,8,2018,16.8,27.3,0.0,2.5100000000000002
2018-08-14,14,8,2018,17.4,24.8,3.8,0.73
2018-08-15,15,8,2018,16.9,24.0,0.0,1.58
2018-08-16,16,8,2018,12.7,23.3,0.0,1.46
2018-08-17,17,8,2018,13.2,22.0,0.0,2.25
2018-08-18,18,8,2018,15.9,20.4,20.6,0.91
2018-08-19,19,8,2018,16.5,23.0,0.6,2.63
2018-08-20,20,8,2018,15.05,23.6,0.0,2.8200000000000003
2018-08-21,21,8,2018,13.6,22.4,0.0,2.12
2018-08-22,22,8,2018,15.8,23.2,2.0,1.07
2018-08-23,23,8,2018,14.8,21.3,0.0,2.27
2018-08-24,24,8,2018,12.6,22.0,0.0,3.23
2018-08-25,25,8,2018,12.3,23.9,0.0,2.8000000000000003
2018-08-26,26,8,2018,10.8,24.4,0.0,1.92
2018-08-27,27,8,2018,14.4,24.0,0.0,1.92
2018-08-28,28,8,2018,16.3,26.9,0.0,2.32
2018-08-29,29,8,2018,18.5,27.1,0.0,3.5
2018-08-30,30,8,2018,14.7,27.2,0.0,2.36
2018-08-31,31,8,2018,12.2,23.1,0.0,3.14
2018-09-01,1,9,2018,11.7,23.7,0.0,2.16
2018-09-02,2,9,2018,11.2,22.7,0.0,2.98
2018-09-03,3,9,2018,16.5,23.2,0.0,2.11
2018-09-04,4,9,2018,13.2,26.4,0.0,3.24
2018-09-05,5,9,2018,11.9,24.4,0.0,3.75
2018-09-06,6,9,2018,16.1,22.9,0.0,2.94
2018-09-07,7,9,2018,11.0,22.6,0.0,2.64
2018-09-08,8,9,2018,9.2,20.6,0.0,3.44
2018-09-09,9,9,2018,6.7,18.4,0.0,3.7800000000000002
2018-09-10,10,9,2018,7.3,21.1,0.0,3.73
2018-09-11,11,9,2018,14.1,22.8,4.4,2.65
2018-09-12,12,9,2018,15.8,24.1,0.0,1.57
2018-09-13,13,9,2018,10.8,21.0,0.0,1.53
2018-09-14,14,9,2018,11.2,25.4,0.0,1.45
2018-09-15,15,9,2018,9.7,20.1,0.0,1.24
2018-09-16,16,9,2018,14.2,18.9,0.0,0.91
2018-09-17,17,9,2018,14.6,19.9,0.0,1.42
2018-09-18,18,9,2018,16.1,19.8,59.6,0.98
2018-09-19,19,9,2018,12.2,17.8,1.0,1.22
2018-09-20,20,9,2018,9.35,18.1,0.0,2.77
2018-09-21,21,9,2018,6.5,18.3,0.0,2.5300000000000002
2018-09-22,22,9,2018,7.3,20.0,0.0,3.05
2018-09-23,23,9,2018,5.6,17.4,0.0,2.66
2018-09-24,24,9,2018,3.0,14.8,0.0,3.49
2018-09-25,25,9,2018,2.9,16.2,1.2,3.37
2018-09-26,26,9,2018,15.6,19.6,60.2,1.26
2018-09-27,27,9,2018,13.0,18.9,13.2,1.28
2018-09-28,28,9,2018,11.4,17.6,3.2,0.6799999999999999
2018-09-29,29,9,2018,8.8,16.2,0.0,1.57
2018-09-30,30,9,2018,6.9,17.8,0.0,2.34
2018-10-01,1,10,2018,9.2,15.5,0.0,1.61
2018-10-02,2,10,2018,9.2,16.0,28.0,0.9600000000000001
2018-10-03,3,10,2018,13.6,18.0,14.6,0.42
2018-10-04,4,10,2018,13.0,14.5,0.6,0.58
2018-10-05,5,10,2018,7.6,15.5,0.0,2.04
2018-10-06,6,10,2018,4.0,14.7,0.0,2.3000000000000003
2018-10-07,7,10,2018,9.8,15.2,0.2,1.42
2018-10-08,8,10,2018,5.9,14.3,0.0,1.83
2018-10-09,9,10,2018,8.9,16.3,0.0,1.56
2018-10-10,10,10,2018,10.5,20.2,0.4,1.1
2018-10-11,11,10,2018,7.9,16.6,39.2,0.39
2018-10-12,12,10,2018,8.8,16.4,29.6,0.36
2018-10-13,13,10,2018,3.3,11.6,1.6,1.98
2018-10-14,14,10,2018,6.5,10.7,0.0,2.5700000000000003
2018-10-15,15,10,2018,4.3,16.1,11.4,2.11
2018-10-16,16,10,2018,5.9,16.1,5.0,2.71
2018-10-17,17,10,2018,1.5,14.1,1.2,2.92
2018-10-18,18,10,2018,2.9,6.6,0.2,2.42
2018-10-19,19,10,2018,3.0,12.1,0.0,2.61
2018-10-20,20,10,2018,10.3,14.3,2.2,1.64
2018-10-21,21,10,2018,3.5,11.8,0.0,2.37
2018-10-22,22,10,2018,2.1,7.5,0.0,2.77
2018-10-23,23,10,2018,2.8,12.0,4.4,1.97
2018-10-24,24,10,2018,3.5,12.6,2.4,0.95
2018-10-25,25,10,2018,2.1,5.9,1.6,1.81
2018-10-26,26,10,2018,-1.7,5.1,0.0,2.23
2018-10-27,27,10,2018,-1.2,12.9,20.4,1.29
2018-10-28,28,10,2018,6.0,14.9,3.2,0.66
2018-10-29,29,10,2018,7.1,13.4,5.8,1.1
2018-10-30,30,10,2018,5.7,10.5,0.2,0.9400000000000001
2018-10-31,31,10,2018,4.4,8.9,0.0,1.25
2018-11-01,1,11,2018,8.6,13.2,1.0,1.07
2018-11-02,2,11,2018,8.7,16.1,9.4,0.45
2018-11-03,3,11,2018,9.1,16.5,12.8,0.78
2018-11-04,4,11,2018,-0.3,9.1,0.0,2.82
2018-11-05,5,11,2018,-0.4,9.4,0.0,1.6
2018-11-06,6,11,2018,8.6,15.2,27.2,0.42
2018-11-07,7,11,2018,10.3,13.7,4.6,1.47
2018-11-08,8,11,2018,6.3,11.2,0.0,2.97
2018-11-09,9,11,2018,5.0,11.899999999999999,0.0,1.76
2018-11-10,10,11,2018,3.7,12.6,21.6,0.98
2018-11-11,11,11,2018,0.4,4.9,0.0,2.47
2018-11-12,12,11,2018,0.0,4.0,0.0,2.22
2018-11-13,13,11,2018,0.0,12.8,30.6,0.88
2018-11-14,14,11,2018,-5.4,5.6,0.0,1.34
2018-11-15,15,11,2018,-4.8,1.0,0.0,1.37
2018-11-16,16,11,2018,-3.3,8.7,21.4,0.56
2018-11-17,17,11,2018,1.2,7.2,0.6,1.37
2018-11-18,18,11,2018,-2.5,3.4,0.0,1.28
2018-11-19,19,11,2018,-0.2,7.3,6.2,0.58
2018-11-20,20,11,2018,0.7,6.2,6.6,0.25
2018-11-21,21,11,2018,-3.9,4.8,2.2,0.68
2018-11-22,22,11,2018,-9.6,-3.9,2.6,0.63
2018-11-23,23,11,2018,-8.6,2.2,0.0,1.12
2018-11-24,24,11,2018,-3.8999999999999995,3.85,0.0,1.45
2018-11-25,25,11,2018,0.8,5.5,8.8,0.54
2018-11-26,26,11,2018,-1.8,4.2,0.0,0.89
2018-11-27,27,11,2018,1.1,6.4,13.0,0.53
2018-11-28,28,11,2018,1.4,7.5,0.0,0.55
2018-11-29,29,11,2018,1.2,3.3,2.6,0.91
2018-11-30,30,11,2018,-0.7,6.1,0.4,1.28
2018-12-01,1,12,2018,-0.2,3.0,0.0,0.84
2018-12-02,2,12,2018,-0.4,10.8,22.4,0.54
2018-12-03,3,12,2018,3.4,10.2,2.8,0.39
2018-12-04,4,12,2018,-4.6,3.4,0.0,0.9700000000000001
2018-12-05,5,12,2018,-5.4,-2.9,0.2,0.9400000000000001
2018-12-06,6,12,2018,-4.9,1.0,1.4,1.06
2018-12-07,7,12,2018,-4.7,1.8,6.1,0.79
2018-12-08,8,12,2018,-7.6,-2.5,4.4,0.75
2018-12-09,9,12,2018,-7.7,1.9,1.6,4.05
2018-12-10,10,12,2018,-5.9,1.7,0.4,1.32
2018-12-11,11,12,2018,-7.2,-1.3,0.0,0.87
2018-12-12,12,12,2018,-8.5,-4.3,1.6,0.88
2018-12-13,13,12,2018,-12.5,-3.1,0.2,0.9
2018-12-14,14,12,2018,-6.7,3.9,0.0,1.16
2018-12-15,15,12,2018,-1.1,7.5,0.0,0.95
2018-12-16,16,12,2018,-3.2,3.9,0.8,1.09
2018-12-17,17,12,2018,0.4,3.8,7.8,0.48
2018-12-18,18,12,2018,-3.6,0.4,5.6,0.73
2018-12-19,19,12,2018,-3.9,-0.1,0.0,1.2
2018-12-20,20,12,2018,-4.6,5.2,0.0,0.97
2018-12-21,21,12,2018,-1.1,11.6,22.4,0.47
2018-12-22,22,12,2018,2.1,12.9,6.2,0.44
2018-12-23,23,12,2018,-2.9,2.2,0.0,1.3
2018-12-24,24,12,2018,-5.3,-0.6,0.0,0.86
2018-12-25,25,12,2018,-7.166666666666667,-1.5,0.0,1.11
2018-12-26,26,12,2018,-9.033333333333333,-2.4,0.0,1.18
2018-12-27,27,12,2018,-10.9,-3.3,0.0,1.1500000000000001
2018-12-28,28,12,2018,-9.6,8.0,40.2,0.55
2018-12-29,29,12,2018,-3.0,7.7,0.2,0.31
2018-12-30,30,12,2018,-9.8,-3.0,0.0,0.82
2018-12-31,31,12,2018,-10.8,1.8,0.0,0.85
2019-01-01,1,1,2019,-2.9,7.5,11.2,0.85
