,Day,Month,Year,DAP,Stage,WC(1.20)a,Raina,Irri,Surf,Infilt,RO,Drain,CR,Zgwta,Ex,E,E/Ex,Trxa,Tra,Tr/Trx,ETx,ET,ET/ETx,GD,Za,StExp,StSto,StSen,StSalta,StWeed,CC,CCw,StTr,Kc(Tr),Trxb,Trb,TrW,Tr/Trxb,WP,Biomass,HI,Y(dry),Y(fresh),Brelative,WPet,Bin,Bout,WC(1.20)b,Wr(0.40),Zb,Wr,Wr(SAT),Wr(FC),Wr(exp),Wr(sto),Wr(sen),Wr(PWP),SaltIn,SaltOut,SaltUp,Salt(1.20),SaltZ,Zc,ECe,ECsw,StSaltb,Zgwtb,ECgw,WC01,WC 2,WC 3,WC 4,WC 5,WC 6,WC 7,WC 8,WC 9,WC10,WC11,WC12,ECe01,ECe 2,ECe 3,ECe 4,ECe 5,ECe 6,ECe 7,ECe 8,ECe 9,ECe10,ECe11,ECe12,Rainb,ETo,Tmin,Tavg,Tmax,CO2
10,9,1,2008,11,2,358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.9,0.4,0.3,82,0.0,0.0,100,0.4,0.3,83,11.5,0.4,0,0,0,0,0,3.9,3.9,0,0.07,0.0,0.0,0.0,100,17.7,0.053,84.0,0.045,0.446,100,2.24,0.0,0.0,358.0,118.0,0.4,118.0,200.0,120.0,86.8,69.0,46.5,40.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0,-9.9,-9.0,28.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,6.0,15.5,25.0,384.92
11,10,1,2008,12,2,357.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.9,0.1,0.1,80,0.0,0.0,100,0.1,0.1,81,3.8,0.4,0,0,0,0,0,4.2,4.2,43,0.08,0.0,0.0,0.0,100,17.7,0.061,84.1,0.051,0.513,100,2.42,0.0,0.0,357.9,117.9,0.4,117.9,200.0,120.0,86.2,68.5,46.2,40.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0,-9.9,-9.0,27.9,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,6.0,7.8,9.6,384.92
12,11,1,2008,13,2,357.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.9,0.3,0.2,79,0.0,0.0,100,0.3,0.3,81,11.5,0.4,0,0,0,0,0,5.2,5.2,0,0.09,0.0,0.0,0.0,100,17.7,0.078,84.3,0.065,0.655,100,2.76,0.0,0.0,357.6,117.6,0.4,117.6,200.0,120.0,86.6,68.8,46.4,40.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0,-9.9,-9.0,27.6,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,6.0,15.5,25.0,384.92
13,12,1,2008,14,2,357.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.9,0.3,0.2,77,0.0,0.0,100,0.3,0.3,79,11.5,0.4,0,0,0,0,0,6.3,6.3,0,0.12,0.0,0.0,0.0,100,17.7,0.098,84.5,0.083,0.828,100,3.15,0.0,0.0,357.4,117.4,0.4,117.4,200.0,120.0,86.6,68.8,46.4,40.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0,-9.9,-9.0,27.4,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,6.0,15.5,25.0,384.92
14,13,1,2008,15,2,357.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.9,0.0,0.0,75,0.0,0.0,100,0.0,0.0,76,2.0,0.4,0,0,0,0,0,6.6,6.6,86,0.12,0.0,0.0,0.0,100,17.7,0.101,84.5,0.085,0.853,100,3.21,0.0,0.0,357.3,117.3,0.4,117.3,200.0,120.0,85.9,68.3,46.1,40.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0,-9.9,-9.0,27.3,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,6.0,6.0,6.0,384.92
15,14,1,2008,16,2,357.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.9,0.1,0.0,75,0.0,0.0,100,0.1,0.0,75,2.3,0.4,0,0,0,0,0,6.8,6.8,81,0.12,0.0,0.0,0.0,100,17.7,0.105,84.5,0.089,0.889,100,3.28,0.0,0.0,357.3,117.3,0.4,117.3,200.0,120.0,85.9,68.3,46.1,40.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0,-9.9,-9.0,27.3,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,6.0,6.3,6.6,384.92
16,15,1,2008,17,2,357.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.9,0.1,0.1,74,0.0,0.0,100,0.1,0.1,75,2.3,0.4,0,0,0,0,0,7.1,7.1,80,0.13,0.0,0.0,0.0,100,17.7,0.11,84.5,0.093,0.928,100,3.34,0.0,0.0,357.2,117.2,0.4,117.2,200.0,120.0,86.0,68.4,46.2,40.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0,-9.9,-9.0,27.2,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,6.0,6.3,6.7,384.92
17,16,1,2008,18,2,357.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.9,0.1,0.1,74,0.0,0.0,100,0.1,0.1,77,10.9,0.4,0,0,0,0,0,8.6,8.6,0,0.15,0.0,0.0,0.0,100,17.7,0.137,84.6,0.116,1.161,100,4.02,0.0,0.0,357.1,117.1,0.4,117.1,200.0,120.0,86.1,68.5,46.2,40.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0,-9.9,-9.0,27.1,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,6.0,14.9,23.8,384.92
18,17,1,2008,19,2,357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.9,0.1,0.1,73,0.0,0.0,100,0.1,0.1,76,4.7,0.4,0,0,0,0,0,9.4,9.4,22,0.17,0.0,0.0,0.0,100,17.7,0.16,84.7,0.136,1.356,100,4.52,0.0,0.0,357.0,117.0,0.4,117.0,200.0,120.0,86.2,68.5,46.2,40.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0,-9.9,-9.0,27.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,6.0,8.7,11.3,384.92
19,18,1,2008,20,2,356.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.9,0.2,0.1,72,0.0,0.0,100,0.2,0.2,77,7.5,0.4,0,0,0,0,0,10.7,10.7,0,0.19,0.0,0.0,0.0,100,17.7,0.194,84.7,0.164,1.641,100,5.17,0.0,0.0,356.8,116.8,0.4,116.8,200.0,120.0,86.4,68.7,46.3,40.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0,-9.9,-9.0,26.8,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,6.0,11.5,17.0,384.92
